Call Type Group,Neighborhoods,Avg Received to Dispatch Wait Time,Avg Dispatch to Response Wait Time,Avg Response to On Scene Wait Time,Avg On Scene Wait Time
Alarm,Bayview Hunters Point,2.5565186584789794,1.517233506534404,4.341843804125334,8.415595969138717
Alarm,Bernal Heights,2.249301143583227,1.35997458703939,3.8301567132570944,7.439432443879712
Alarm,Castro/Upper Market,1.9930990578049401,1.3538579067990832,3.2139928698752227,6.5609498344792465
Alarm,Chinatown,2.313489952718676,1.4653073286052007,2.7864952718676124,6.565292553191489
Alarm,Excelsior,2.40859649122807,1.380050125313283,4.179649122807017,7.968295739348371
Alarm,Financial District/South Beach,1.945213772228528,1.4653575482406356,3.649928111993946,7.06049943246311
Alarm,Glen Park,2.242132505175983,1.429089026915114,3.9759316770186337,7.647153209109731
Alarm,Golden Gate Park,1.8924342105263157,1.40734649122807,3.9896929824561402,7.289473684210526
Alarm,Haight Ashbury,2.0496216216216214,1.3046126126126125,3.1056396396396395,6.459873873873874
Alarm,Hayes Valley,2.126519394316532,1.2874818502385397,2.947054552997303,6.361055797552376
Alarm,Inner Richmond,2.390233785822021,1.3427036199095024,3.5238876319758674,7.25682503770739
Alarm,Inner Sunset,2.2828755364806868,1.416909871244635,3.944549356223176,7.644334763948497
Alarm,Japantown,2.0089717046238786,1.243857832988268,3.1832298136645965,6.436059351276742
Alarm,Lakeshore,2.3135275900900902,1.4519284909909909,4.391117680180181,8.156573761261262
Alarm,Lincoln Park,3.870149253731343,1.507462686567164,6.16318407960199,11.540796019900496
Alarm,Lone Mountain/USF,2.1373178506375226,1.2953779599271402,3.1812841530054645,6.613979963570127
Alarm,Marina,1.9644923315860998,1.3558435255290235,3.3310036886041545,6.651339545719278
Alarm,McLaren Park,1.7900297619047618,1.453125,4.919791666666667,8.162946428571429
Alarm,Mission,2.2231420348738786,1.298764178093787,3.1475579820551887,6.669464195022854
Alarm,Mission Bay,2.1908256880733945,1.501926605504587,3.251269113149847,6.9440214067278285
Alarm,Nob Hill,1.827473897459872,1.257028206326944,2.8819152251831075,5.966417328969924
Alarm,Noe Valley,2.338732658417698,1.3342144731908512,3.137026621672291,6.80997375328084
Alarm,None,2.6666666666666665,1.5333333333333334,5.645833333333333,9.845833333333333
Alarm,North Beach,2.0795627376425854,1.382382762991128,3.298003802281369,6.759949302915083
Alarm,Oceanview/Merced/Ingleside,2.4354392298435616,1.3759927797833933,4.095818291215403,7.907250300842359
Alarm,Outer Mission,3.2905311778290995,1.3432640492686683,3.5478444957659736,8.181639722863741
Alarm,Outer Richmond,2.3383861236802415,1.3121543489190548,3.512694821518351,7.163235294117647
Alarm,Pacific Heights,2.1108004969826055,1.2468849840255591,2.945172168974086,6.3028576499822515
Alarm,Portola,2.5945887445887448,1.3964646464646464,3.840981240981241,7.832034632034632
Alarm,Potrero Hill,2.4458569500674767,1.4423076923076923,3.827692307692308,7.715856950067477
Alarm,Presidio,1.769047619047619,1.5547619047619048,3.1714285714285713,6.495238095238095
Alarm,Presidio Heights,2.3310178117048346,1.2488549618320612,3.255216284987277,6.835089058524173
Alarm,Russian Hill,2.267965571205008,1.3374021909233176,3.540250391236307,7.145618153364633
Alarm,Seacliff,2.1148293963254594,1.300262467191601,4.041076115485565,7.4561679790026245
Alarm,South of Market,1.9954549623922218,1.4441845532929738,3.1812649055219224,6.6209044212071175
Alarm,Sunset/Parkside,2.4467173193064484,1.4149717514124294,3.9531268264172996,7.814815897136177
Alarm,Tenderloin,2.0672767248854202,1.2450514059209712,3.166168091168091,6.478496221974483
Alarm,Treasure Island,2.6527777777777777,1.5861111111111112,4.927777777777778,9.166666666666666
Alarm,Twin Peaks,2.2066967644845747,1.4301730624529723,4.74484574868322,8.381715575620767
Alarm,Visitacion Valley,1.947808358817533,1.309072375127421,5.402446483180428,8.659327217125384
Alarm,West of Twin Peaks,2.3125553709856037,1.4503737541528239,4.004429678848283,7.767358803986711
Alarm,Western Addition,2.136869647954329,1.2409609895337774,2.9269980970504283,6.3048287345385345
Fire,Bayview Hunters Point,4.9155635780184515,1.5182109907741677,5.611492178098676,12.045266746891295
Fire,Bernal Heights,2.2846153846153845,1.2676638176638175,4.5517806267806264,8.104059829059828
Fire,Castro/Upper Market,7.206306306306306,1.2912612612612613,7.525945945945947,16.023513513513514
Fire,Chinatown,2.248101265822785,1.3567510548523207,3.9753164556962024,7.580168776371308
Fire,Excelsior,2.624570446735395,1.3309278350515463,6.407044673539518,10.362542955326461
Fire,Financial District/South Beach,3.6066343042071196,1.5287702265372167,5.594433656957929,10.729838187702265
Fire,Glen Park,1.8550387596899225,1.1476744186046512,4.6682170542635655,7.670930232558139
Fire,Golden Gate Park,2.427104377104377,1.2966329966329966,5.403872053872053,9.127609427609428
Fire,Haight Ashbury,4.435897435897435,1.3313390313390312,7.3492877492877495,13.116524216524217
Fire,Hayes Valley,2.0093434343434344,1.3140151515151515,3.7050505050505054,7.028409090909091
Fire,Inner Richmond,2.2294871794871796,1.1547008547008548,3.898717948717949,7.282905982905983
Fire,Inner Sunset,2.194632768361582,1.1242937853107344,4.597175141242938,7.9161016949152545
Fire,Japantown,1.8069444444444445,1.2125,3.7069444444444444,6.726388888888889
Fire,Lakeshore,5.0487244897959185,1.3747448979591836,8.893962585034014,15.317431972789116
Fire,Lincoln Park,3.657516339869281,1.5016339869281046,6.951633986928105,12.11078431372549
Fire,Lone Mountain/USF,5.939094650205761,1.3222222222222222,7.796707818930042,15.058024691358025
Fire,Marina,3.0301075268817206,1.2065860215053763,6.529166666666667,10.765860215053765
Fire,McLaren Park,2.3797619047619047,1.4821428571428572,7.0946428571428575,10.956547619047619
Fire,Mission,2.4563492063492065,1.278888888888889,3.8386507936507934,7.573888888888889
Fire,Mission Bay,2.977008032128514,1.390863453815261,4.813253012048193,9.181124497991968
Fire,Nob Hill,1.7125,1.1472222222222221,2.915798611111111,5.775520833333333
Fire,Noe Valley,1.6954301075268816,1.421236559139785,4.545967741935484,7.66263440860215
Fire,None,1.8833333333333333,1.2125,4.2125,7.308333333333334
Fire,North Beach,2.6042528735632184,1.342413793103448,6.337126436781609,10.283793103448277
Fire,Oceanview/Merced/Ingleside,2.483966244725738,1.0860759493670886,5.94662447257384,9.516666666666667
Fire,Outer Mission,6.257988980716253,1.491046831955923,5.737741046831956,13.48677685950413
Fire,Outer Richmond,4.128051282051282,1.4576410256410255,7.55748717948718,13.143179487179486
Fire,Pacific Heights,2.757936507936508,1.1055555555555554,4.446666666666667,8.31015873015873
Fire,Portola,2.7666666666666666,1.3256218905472636,5.996517412935323,10.088805970149254
Fire,Potrero Hill,2.561805555555556,1.385037878787879,4.537247474747475,8.48409090909091
Fire,Presidio,2.6671875,1.6164930555555554,9.626041666666667,13.909722222222223
Fire,Presidio Heights,4.0662280701754385,1.1407894736842106,4.489912280701755,9.696929824561403
Fire,Russian Hill,2.9713978494623654,1.2201075268817203,6.299677419354839,10.491182795698926
Fire,Seacliff,4.307575757575758,1.3011363636363635,6.091287878787879,11.7
Fire,South of Market,2.7657062146892657,1.3119774011299434,3.849661016949153,7.927344632768362
Fire,Sunset/Parkside,2.4921081677704193,1.3594370860927152,6.478256070640176,10.329801324503311
Fire,Tenderloin,2.1113575268817204,1.324731182795699,3.5833333333333335,7.019422043010753
Fire,Treasure Island,4.8387931034482765,1.6945402298850574,11.595402298850576,18.128735632183908
Fire,Twin Peaks,3.0860465116279068,1.0302325581395348,6.885658914728682,11.001937984496124
Fire,Visitacion Valley,5.899213836477987,1.3073899371069182,10.74119496855346,17.947798742138367
Fire,West of Twin Peaks,3.0863095238095237,1.3157142857142856,6.162738095238096,10.564761904761903
Fire,Western Addition,3.578153153153153,1.2531531531531532,3.939864864864865,8.771171171171172
Non Life-threatening,Bayview Hunters Point,2.9719580190226305,0.7576637148791954,9.863993659123208,13.593615393025035
Non Life-threatening,Bernal Heights,2.894868301544051,0.691537995761429,9.717847411444142,13.304253708749622
Non Life-threatening,Castro/Upper Market,2.6116362946089597,0.6135250569476082,8.141780561883069,11.366941913439636
Non Life-threatening,Chinatown,2.8706431812116358,0.6790499065919402,9.920803309314119,13.470496397117694
Non Life-threatening,Excelsior,2.784699675324675,0.7478896103896103,9.838798701298701,13.371387987012987
Non Life-threatening,Financial District/South Beach,2.7844508301404853,0.6089200191570882,10.960336845466156,14.35370769476373
Non Life-threatening,Glen Park,3.3800942285041224,0.8093050647820965,8.773027090694935,12.962426383981155
Non Life-threatening,Golden Gate Park,2.5188157894736842,0.7685087719298245,8.277894736842105,11.565219298245614
Non Life-threatening,Haight Ashbury,2.547240051347882,0.6192340607616603,8.235986307231494,11.402460419341034
Non Life-threatening,Hayes Valley,2.7440992292870905,0.6996146435452794,8.473627167630058,11.917341040462427
Non Life-threatening,Inner Richmond,2.873391089108911,0.6947607260726072,8.522669141914191,12.090820957095708
Non Life-threatening,Inner Sunset,2.6497530864197527,0.7752674897119342,8.121995884773662,11.54701646090535
Non Life-threatening,Japantown,3.1444715447154468,0.6966124661246612,8.710623306233062,12.551707317073172
Non Life-threatening,Lakeshore,2.9759607173356106,0.7840592086535724,10.614062055223457,14.374081981212639
Non Life-threatening,Lincoln Park,3.2136904761904765,0.7321428571428572,10.64345238095238,14.589285714285715
Non Life-threatening,Lone Mountain/USF,3.243079443079443,0.7637592137592137,7.961158886158886,11.967997542997544
Non Life-threatening,Marina,2.7477554438860974,0.6899832495812395,9.423685092127304,12.86142378559464
Non Life-threatening,McLaren Park,2.8733333333333335,0.7821428571428571,9.814523809523811,13.47
Non Life-threatening,Mission,2.649489934342612,0.5815535297628737,8.720049921319658,11.951093385425144
Non Life-threatening,Mission Bay,2.7223972397239726,0.6710921092109211,10.724212421242125,14.117701770177018
Non Life-threatening,Nob Hill,2.95186230248307,0.6186794582392776,8.19573927765237,11.766281038374718
Non Life-threatening,Noe Valley,3.3294580419580417,0.7394522144522144,7.804953379953379,11.873863636363636
Non Life-threatening,None,2.0883333333333334,0.7227777777777777,8.955555555555556,11.766666666666667
Non Life-threatening,North Beach,2.704292722812755,0.6062278550013628,11.03047151812483,14.34099209593895
Non Life-threatening,Oceanview/Merced/Ingleside,2.7235425011125947,0.6800178015131286,9.420071206052514,12.823631508678238
Non Life-threatening,Outer Mission,3.966666666666667,0.7083809523809524,9.221063492063491,13.89611111111111
Non Life-threatening,Outer Richmond,3.0072240802675583,0.7080379041248607,9.29298773690078,13.008249721293199
Non Life-threatening,Pacific Heights,2.8823871316572047,0.703095431197621,8.166085428494188,11.751567991349013
Non Life-threatening,Portola,3.324880952380952,0.7989047619047619,9.502880952380954,13.626666666666667
Non Life-threatening,Potrero Hill,3.091589267285862,0.6597695218438253,9.159459924320606,12.910818713450292
Non Life-threatening,Presidio,3.342857142857143,1.0199404761904762,11.964285714285715,16.327083333333334
Non Life-threatening,Presidio Heights,2.8833333333333333,0.7363083813179782,8.932053742802303,12.551695457453615
Non Life-threatening,Russian Hill,3.162721893491124,0.7400788954635108,8.957633136094675,12.860433925049309
Non Life-threatening,Seacliff,3.867543859649123,0.9118421052631579,8.134868421052632,12.914254385964911
Non Life-threatening,South of Market,2.8679823311484753,0.5477058991165574,10.680267407618505,14.095955637883538
Non Life-threatening,Sunset/Parkside,3.0938969911969516,0.7766653527788726,9.613427933254501,13.483990277230324
Non Life-threatening,Tenderloin,2.839424732390149,0.5346096264690471,9.55186016917434,12.925894528033535
Non Life-threatening,Treasure Island,5.5476190476190474,1.2091269841269843,10.240277777777777,16.99702380952381
Non Life-threatening,Twin Peaks,3.4835555555555553,0.6812888888888888,9.210488888888888,13.375333333333334
Non Life-threatening,Visitacion Valley,2.943719806763285,0.713311862587225,11.417471819645732,15.074503488996243
Non Life-threatening,West of Twin Peaks,2.8431923400673402,0.7847011784511785,8.839057239057238,12.466950757575757
Non Life-threatening,Western Addition,2.966527001862197,0.6718032278088144,8.578235567970205,12.216565797641216
Potentially Life-Threatening,Bayview Hunters Point,2.21054196264141,0.9801920547224415,5.998376742962378,9.18911076032623
Potentially Life-Threatening,Bernal Heights,2.5438629117959617,0.9528161530286928,5.693756641870351,9.190435706695006
Potentially Life-Threatening,Castro/Upper Market,2.3493703703703703,0.8575925925925926,4.678802469135802,7.885765432098766
Potentially Life-Threatening,Chinatown,2.5011071367739737,0.8805910407085675,5.184568216658151,8.56626639414069
Potentially Life-Threatening,Excelsior,2.38129007921539,0.9045643153526971,5.921928831887338,9.207783226455426
Potentially Life-Threatening,Financial District/South Beach,2.2508773110752105,0.8230905582480704,5.577418775803267,8.651386645126548
Potentially Life-Threatening,Glen Park,2.256728603603604,0.9965934684684684,5.616188063063063,8.869510135135135
Potentially Life-Threatening,Golden Gate Park,2.2290759075907594,0.8870957095709571,5.549108910891089,8.665280528052806
Potentially Life-Threatening,Haight Ashbury,2.125946275946276,0.804896214896215,4.591355311355311,7.522197802197803
Potentially Life-Threatening,Hayes Valley,2.304895833333333,0.8872549019607843,4.805208333333334,7.997359068627451
Potentially Life-Threatening,Inner Richmond,2.152800097394692,0.8869734599464328,4.774579985390797,7.814353542731921
Potentially Life-Threatening,Inner Sunset,2.3102277704774417,0.9277595269382392,5.08984888304862,8.3278361804643
Potentially Life-Threatening,Japantown,2.4184744268077605,0.8031746031746032,5.361331569664903,8.582980599647266
Potentially Life-Threatening,Lakeshore,2.4690095846645366,0.8631416400425985,7.244408945686901,10.576560170394036
Potentially Life-Threatening,Lincoln Park,2.7766666666666664,1.0647619047619048,6.442857142857142,10.284285714285714
Potentially Life-Threatening,Lone Mountain/USF,2.3797252289758535,0.8166250346933112,5.07917013599778,8.275520399666943
Potentially Life-Threatening,Marina,2.087391222096103,0.8966893681422625,5.4183314415437005,8.402412031782067
Potentially Life-Threatening,McLaren Park,1.8038759689922481,0.8773255813953488,7.173449612403101,9.854651162790699
Potentially Life-Threatening,Mission,2.2668390702098566,0.8008545865287438,4.5602862493311935,7.627979906069794
Potentially Life-Threatening,Mission Bay,2.2647664965021743,0.9566080544526375,5.57060881073927,8.791983361694083
Potentially Life-Threatening,Nob Hill,2.3756051326917467,0.8300670749489647,4.576548070380091,7.7822202780208025
Potentially Life-Threatening,Noe Valley,2.5446284032376747,0.8411147902869758,4.918984547461369,8.304727740986019
Potentially Life-Threatening,None,3.2894179894179896,1.046031746031746,7.938888888888888,12.274338624338624
Potentially Life-Threatening,North Beach,2.3380858519491894,0.8815082493794715,5.53956051978391,8.759154621112572
Potentially Life-Threatening,Oceanview/Merced/Ingleside,2.2009473245887987,0.8910056214865709,5.888288569643973,8.980241515719342
Potentially Life-Threatening,Outer Mission,2.2436153544849193,0.8974441833137485,5.504475127301214,8.645534665099882
Potentially Life-Threatening,Outer Richmond,2.3475708754839517,0.8672474085175472,5.62638316473086,8.84120144873236
Potentially Life-Threatening,Pacific Heights,2.2457891353262616,0.822621343619415,5.11268081002893,8.181091288974606
Potentially Life-Threatening,Portola,2.2702307917031845,0.9178790534618756,5.879111890154835,9.067221735319894
Potentially Life-Threatening,Potrero Hill,2.4264903671392224,0.8565339876408579,5.210650672482733,8.493675027262814
Potentially Life-Threatening,Presidio,2.494345238095238,1.06875,7.578571428571428,11.141666666666667
Potentially Life-Threatening,Presidio Heights,2.3215331610680447,0.7973944875107666,5.320521102497847,8.439448751076657
Potentially Life-Threatening,Russian Hill,2.3289242843951987,0.8716412742382271,5.03789242843952,8.238457987072945
Potentially Life-Threatening,Seacliff,2.0105128205128207,0.8965384615384616,5.680512820512821,8.587564102564102
Potentially Life-Threatening,South of Market,2.2057080131723383,0.7095682400292719,5.4181291163556535,8.333405369557264
Potentially Life-Threatening,Sunset/Parkside,2.306313876902112,0.9783973048678931,6.059815277462336,9.344526459232343
Potentially Life-Threatening,Tenderloin,2.1493834620706567,0.643977370255548,4.947213318620497,7.740574150946701
Potentially Life-Threatening,Treasure Island,3.967936507936508,1.1142857142857143,9.893174603174604,14.975396825396825
Potentially Life-Threatening,Twin Peaks,2.64445281124498,0.9390562248995984,6.360140562248996,9.943649598393574
Potentially Life-Threatening,Visitacion Valley,2.2984029779058597,0.9585734870317002,7.011419308357349,10.268395773294909
Potentially Life-Threatening,West of Twin Peaks,2.1836570247933884,0.9386157024793389,5.496969696969697,8.619242424242424
Potentially Life-Threatening,Western Addition,2.2484031435498704,0.8115918401471449,4.926398294456986,7.986393278154
